0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
000000014001606a|nop
000000014001606b|mov rax, qword ptr [r13]
000000014001606f|and rax, 0xff
0000000140016075|inc r13
0000000140016078|mov rax, qword ptr [rsp + rax*8]
000000014001607c|sub r15, 8
0000000140016080|mov qword ptr [r15], rax
0000000140016083|mov eax, dword ptr [r13]
0000000140016087|add r13, 4
000000014001608b|add rax, r14
000000014001608e|jmp rax
000000014001620a|nop
000000014001620b|mov rax, r15
000000014001620e|sub r15, 8
0000000140016212|mov qword ptr [r15], rax
0000000140016215|mov eax, dword ptr [r13]
0000000140016219|add r13, 4
000000014001621d|add rax, r14
0000000140016220|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
000000014001620a|nop
000000014001620b|mov rax, r15
000000014001620e|sub r15, 8
0000000140016212|mov qword ptr [r15], rax
0000000140016215|mov eax, dword ptr [r13]
0000000140016219|add r13, 4
000000014001621d|add rax, r14
0000000140016220|jmp rax
0000000140016194|nop
0000000140016195|mov rax, qword ptr [r13]
0000000140016199|add r13, 8
000000014001619d|sub r15, 8
00000001400161a1|mov qword ptr [r15], rax
00000001400161a4|mov eax, dword ptr [r13]
00000001400161a8|add r13, 4
00000001400161ac|add rax, r14
00000001400161af|jmp rax
000000014001631f|mov rax, qword ptr [r15]
0000000140016322|sub qword ptr [r15 + 8], rax
0000000140016326|pushfq
0000000140016327|pop qword ptr [r15]
000000014001632a|mov eax, dword ptr [r13]
000000014001632e|add r13, 4
0000000140016332|add rax, r14
0000000140016335|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
000000014001626c|mov r15, qword ptr [r15]
000000014001626f|nop
0000000140016270|mov eax, dword ptr [r13]
0000000140016274|add r13, 4
0000000140016278|add rax, r14
000000014001627b|jmp rax
000000014001606a|nop
000000014001606b|mov rax, qword ptr [r13]
000000014001606f|and rax, 0xff
0000000140016075|inc r13
0000000140016078|mov rax, qword ptr [rsp + rax*8]
000000014001607c|sub r15, 8
0000000140016080|mov qword ptr [r15], rax
0000000140016083|mov eax, dword ptr [r13]
0000000140016087|add r13, 4
000000014001608b|add rax, r14
000000014001608e|jmp rax
0000000140016194|nop
0000000140016195|mov rax, qword ptr [r13]
0000000140016199|add r13, 8
000000014001619d|sub r15, 8
00000001400161a1|mov qword ptr [r15], rax
00000001400161a4|mov eax, dword ptr [r13]
00000001400161a8|add r13, 4
00000001400161ac|add rax, r14
00000001400161af|jmp rax
0000000140016194|nop
0000000140016195|mov rax, qword ptr [r13]
0000000140016199|add r13, 8
000000014001619d|sub r15, 8
00000001400161a1|mov qword ptr [r15], rax
00000001400161a4|mov eax, dword ptr [r13]
00000001400161a8|add r13, 4
00000001400161ac|add rax, r14
00000001400161af|jmp rax
00000001400162b1|mov rax, qword ptr [r15]
00000001400162b4|add qword ptr [r15 + 8], rax
00000001400162b8|pushfq
00000001400162b9|pop qword ptr [r15]
00000001400162bc|mov eax, dword ptr [r13]
00000001400162c0|add r13, 4
00000001400162c4|add rax, r14
00000001400162c7|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
